,Gene.id,gene.id,GO.ids
1,111242787,X,GO:0005515
138,111242789,X,GO:0005576
139,111242789,X.1,GO:0008061
140,111242789,X.2,GO:0006030
275,111242790,X,GO:0005887
276,111242790,X.1,GO:0004872
277,111242790,X.2,GO:0005515
278,111242790,X.3,GO:0006898
279,111242790,X.4,GO:0030513
280,111242790,X.5,GO:0042733
412,111242792,X,GO:0070072
549,111242797,X,GO:0016779
686,111242798,X,GO:0005622
687,111242798,X.1,GO:0016020
688,111242798,X.2,GO:0030425
689,111242798,X.3,GO:0033268
690,111242798,X.4,GO:0043194
691,111242798,X.5,GO:0005516
692,111242798,X.6,GO:0030506
693,111242798,X.7,GO:0044325
694,111242798,X.8,GO:0001553
695,111242798,X.9,GO:0001822
696,111242798,X.10,GO:0006807
697,111242798,X.11,GO:0008210
698,111242798,X.12,GO:0008366
699,111242798,X.13,GO:0009791
700,111242798,X.14,GO:0010761
701,111242798,X.15,GO:0048008
702,111242798,X.16,GO:0048705
703,111242798,X.17,GO:0048745
704,111242798,X.18,GO:0060021
705,111242798,X.19,GO:0060325
823,111242799,X,GO:0052689
824,111242799,X.1,GO:0006629
960,111242800,X,GO:0042302
1097,111242802,X,GO:0003735
1098,111242802,X.1,GO:0005840
1099,111242802,X.2,GO:0006412
1234,111242803,X,GO:0008146
1371,111242809,X,GO:0000786
1372,111242809,X.1,GO:0005634
1373,111242809,X.2,GO:0003677
1374,111242809,X.3,GO:0046982
1508,111242810,X,GO:0005576
1509,111242810,X.1,GO:0005179
1645,111242811,X,GO:0004930
1646,111242811,X.1,GO:0007186
1647,111242811,X.2,GO:0016021
1648,111242811,X.3,GO:0007166
1782,111242813,X,GO:0005856
1919,111242814,X,GO:0005634
1920,111242814,X.1,GO:0003677
1921,111242814,X.2,GO:0005515
2056,111242815,X,GO:0005768
2057,111242815,X.1,GO:0005794
2058,111242815,X.2,GO:0016020
2059,111242815,X.3,GO:0044446
2060,111242815,X.4,GO:0019842
2061,111242815,X.5,GO:1902936
2062,111242815,X.6,GO:0032502
2063,111242815,X.7,GO:0044237
2064,111242815,X.8,GO:0050896
2065,111242815,X.9,GO:0065007
2066,111242815,X.10,GO:0071704
2193,111242816,X,GO:0005515
2194,111242816,X.1,GO:0007165
2330,111242817,X,GO:0005515
2467,111242818,X,GO:0016020
2604,111242819,X,GO:0003676
2605,111242819,X.1,GO:0005515
2741,111242820,X,GO:0046872
2878,111242821,X,GO:0035023
2879,111242821,X.1,GO:0005089
3015,111242822,X,GO:0044464
3016,111242822,X.1,GO:0044782
3017,111242822,X.2,GO:0048731
3018,111242822,X.3,GO:0050794
3019,111242822,X.4,GO:0060429
3152,111242823,X,GO:0001669
3153,111242823,X.1,GO:0005615
3154,111242823,X.2,GO:0036126
3155,111242823,X.3,GO:0016787
3156,111242823,X.4,GO:0008152
3157,111242823,X.5,GO:0009566
3158,111242823,X.6,GO:0009987
3159,111242823,X.7,GO:0050829
3160,111242823,X.8,GO:0050830
3289,111242824,X,GO:0046983
3426,111242826,X,GO:0005515
3563,111242831,X,GO:0042981
3700,111242832,X,GO:0003824
3837,111242833,X,GO:0008199
3838,111242833,X.1,GO:0006826
3839,111242833,X.2,GO:0006879
