geneno,Gene.id
111244134,LOC111244134
111244411,LOC111244411
111245093,LOC111245093
111246473,LOC111246473
111246834,LOC111246834
111247395,LOC111247395
111249468,LOC111249468
111249718,LOC111249718
111251217,LOC111251217
111251638,LOC111251638
111251989,LOC111251989
111252936,LOC111252936
111253278,LOC111253278
111253737,LOC111253737
111254289,LOC111254289
111254910,LOC111254910
111255009,LOC111255009
111255226,LOC111255226
111242789,LOC111242789
111243470,LOC111243470
111244516,LOC111244516
111244625,LOC111244625
111244800,LOC111244800
111245550,LOC111245550
111245892,LOC111245892
111246035,LOC111246035
111246560,LOC111246560
111246726,LOC111246726
111247316,LOC111247316
111247702,LOC111247702
111248781,LOC111248781
111249510,LOC111249510
111249737,LOC111249737
111250139,LOC111250139
111250366,LOC111250366
111250675,LOC111250675
111250992,LOC111250992
111251342,LOC111251342
111251403,LOC111251403
111251446,LOC111251446
111252478,LOC111252478
111252519,LOC111252519
111252867,LOC111252867
111253694,LOC111253694
111253794,LOC111253794
111253887,LOC111253887
111254064,LOC111254064
111254208,LOC111254208
111254322,LOC111254322
111254487,LOC111254487
111254797,LOC111254797
111255167,LOC111255167
111255319,LOC111255319
