,Gene.id,gene.id,GO.ids
1,111258533,X,GO:0005634
2,111258533,X.1,GO:0003723
3,111258533,X.2,GO:0031123
4,111258533,X.3,GO:0043631
5,111258533,X.4,GO:0004652
138,111258534,X,GO:0016301
275,111258535,X,GO:0005515
412,111258545,X,GO:0004672
413,111258545,X.1,GO:0005524
414,111258545,X.2,GO:0006468
415,111258545,X.3,GO:0007094
549,111258546,X,GO:0003924
550,111258546,X.1,GO:0005525
686,111258549,X,GO:0005515
823,111258551,X,GO:0001522
824,111258551,X.1,GO:0003723
825,111258551,X.2,GO:0009982
960,111258556,X,GO:0004888
961,111258556,X.1,GO:0034220
962,111258556,X.2,GO:0016021
963,111258556,X.3,GO:0005230
1097,111258563,X,GO:0005634
1098,111258563,X.1,GO:0005739
1099,111258563,X.2,GO:0015630
1100,111258563,X.3,GO:0044430
1101,111258563,X.4,GO:0005085
1102,111258563,X.5,GO:0008289
1103,111258563,X.6,GO:0016740
1104,111258563,X.7,GO:0043168
1105,111258563,X.8,GO:0097159
1106,111258563,X.9,GO:0140096
1107,111258563,X.10,GO:1901363
1108,111258563,X.11,GO:0002376
1109,111258563,X.12,GO:0006464
1110,111258563,X.13,GO:0016043
1111,111258563,X.14,GO:0030154
1112,111258563,X.15,GO:0048731
1113,111258563,X.16,GO:0050794
1114,111258563,X.17,GO:0050896
1234,111258564,X,GO:0003676
1371,111258565,X,GO:0003824
1372,111258565,X.1,GO:0008152
1508,111258567,X,GO:0015078
1509,111258567,X.1,GO:0015991
1510,111258567,X.2,GO:0033179
1645,111258569,X,GO:0035556
1782,111258571,X,GO:0005634
1783,111258571,X.1,GO:0005515
1784,111258571,X.2,GO:0005768
1785,111258571,X.3,GO:0045892
1786,111258571,X.4,GO:0042752
1787,111258571,X.5,GO:0051127
1919,111258572,X,GO:0003779
2056,111258574,X,GO:0005634
2057,111258574,X.1,GO:0005515
2058,111258574,X.2,GO:0005768
2059,111258574,X.3,GO:0045892
2060,111258574,X.4,GO:0042752
2061,111258574,X.5,GO:0051127
2193,111258575,X,GO:0005634
2194,111258575,X.1,GO:0005768
2195,111258575,X.2,GO:0030904
2196,111258575,X.3,GO:0004842
2197,111258575,X.4,GO:0005515
2198,111258575,X.5,GO:0034314
2199,111258575,X.6,GO:0042147
2200,111258575,X.7,GO:0042752
2201,111258575,X.8,GO:0045892
2202,111258575,X.9,GO:0051127
2203,111258575,X.10,GO:0070534
2330,111258577,X,GO:0005515
2467,111258579,X,GO:0005515
2604,111258583,X,GO:0003700
2605,111258583,X.1,GO:0043565
2606,111258583,X.2,GO:0006355
2741,111258584,X,GO:0003735
2878,111258585,X,GO:1905445
2879,111258585,X.1,GO:0007015
2880,111258585,X.2,GO:0005794
2881,111258585,X.3,GO:0002020
2882,111258585,X.4,GO:0005774
2883,111258585,X.5,GO:0042059
2884,111258585,X.6,GO:0006623
2885,111258585,X.7,GO:1990175
2886,111258585,X.8,GO:0005654
2887,111258585,X.9,GO:0009579
2888,111258585,X.10,GO:0005546
2889,111258585,X.11,GO:0070062
2890,111258585,X.12,GO:0005768
2891,111258585,X.13,GO:0001701
2892,111258585,X.14,GO:0043195
2893,111258585,X.15,GO:0000281
2894,111258585,X.16,GO:0045296
2895,111258585,X.17,GO:0031234
2896,111258585,X.18,GO:0005829
2897,111258585,X.19,GO:0035615
2898,111258585,X.20,GO:0030122
2899,111258585,X.21,GO:0032266
2900,111258585,X.22,GO:0030100
2901,111258585,X.23,GO:0061024
2902,111258585,X.24,GO:0080025
2903,111258585,X.25,GO:0007565
2904,111258585,X.26,GO:0048568
2905,111258585,X.27,GO:0008134
2906,111258585,X.28,GO:0005884
2907,111258585,X.29,GO:0098890
2908,111258585,X.30,GO:0044325
2909,111258585,X.31,GO:0000147
2910,111258585,X.32,GO:0006895
2911,111258585,X.33,GO:0000331
2912,111258585,X.34,GO:0048471
2913,111258585,X.35,GO:0007219
2914,111258585,X.36,GO:0098888
2915,111258585,X.37,GO:0034498
2916,111258585,X.38,GO:0030479
2917,111258585,X.39,GO:0072659
2918,111258585,X.40,GO:0032511
2919,111258585,X.41,GO:0030435
2920,111258585,X.42,GO:0035304
3015,111258586,X,GO:0003899
3016,111258586,X.1,GO:0006351
3152,111258587,X,GO:0016021
3153,111258587,X.1,GO:0001713
3154,111258587,X.2,GO:0007220
3155,111258587,X.3,GO:0007498
3156,111258587,X.4,GO:0045747
3157,111258587,X.5,GO:0046331
3289,111258588,X,GO:0006508
3290,111258588,X.1,GO:0004222
3426,111258592,X,GO:0008080
3563,111258597,X,GO:0016747
3700,111258599,X,GO:0016459
3701,111258599,X.1,GO:0003774
3702,111258599,X.2,GO:0005515
3703,111258599,X.3,GO:0005524
3837,111258600,X,GO:0050660
3838,111258600,X.1,GO:0009055
3839,111258600,X.2,GO:0045454
3840,111258600,X.3,GO:0055114
3841,111258600,X.4,GO:0004148
3974,111258601,X,GO:0004784
3975,111258601,X.1,GO:0046872
3976,111258601,X.2,GO:0006801
3977,111258601,X.3,GO:0055114
4111,111258602,X,GO:0008146
4248,111258603,X,GO:0003676
4249,111258603,X.1,GO:0008408
4250,111258603,X.2,GO:0006364
4385,111258604,X,GO:0006355
4386,111258604,X.1,GO:0043565
4522,111258607,X,GO:0004672
4523,111258607,X.1,GO:0005524
4524,111258607,X.2,GO:0006468
4659,111258608,X,GO:0000287
4660,111258608,X.1,GO:0005975
4661,111258608,X.2,GO:0016868
4796,111258609,X,GO:0006470
4797,111258609,X.1,GO:0008138
4933,111258610,X,GO:0035220
4934,111258610,X.1,GO:0061355
4935,111258610,X.2,GO:0019905
4936,111258610,X.3,GO:0006890
4937,111258610,X.4,GO:0007030
4938,111258610,X.5,GO:0030140
4939,111258610,X.6,GO:0043123
4940,111258610,X.7,GO:0000139
4941,111258610,X.8,GO:0048205
4942,111258610,X.9,GO:0002121
4943,111258610,X.10,GO:0004871
4944,111258610,X.11,GO:0005215
4945,111258610,X.12,GO:0009953
4946,111258610,X.13,GO:0005789
4947,111258610,X.14,GO:0006888
4948,111258610,X.15,GO:0070062
4949,111258610,X.16,GO:0032527
4950,111258610,X.17,GO:0048042
4951,111258610,X.18,GO:0010638
4952,111258610,X.19,GO:0016021
4953,111258610,X.20,GO:0034389
4954,111258610,X.21,GO:0034498
4955,111258610,X.22,GO:0033116
5070,111258611,X,GO:0004462
5071,111258611,X.1,GO:0046872
5207,111258614,X,GO:0005515
5208,111258614,X.1,GO:0051260
5344,111258615,X,GO:0004672
5345,111258615,X.1,GO:0005515
5346,111258615,X.2,GO:0005524
5347,111258615,X.3,GO:0006468
5481,111258616,X,GO:0005524
5482,111258616,X.1,GO:0072383
5483,111258616,X.2,GO:0003777
5484,111258616,X.3,GO:0000915
5485,111258616,X.4,GO:0008017
5618,111258617,X,GO:0016021
5619,111258617,X.1,GO:0005215
5620,111258617,X.2,GO:0055085
5755,111258618,X,GO:0035556
5892,111258619,X,GO:0004491
5893,111258619,X.1,GO:0055114
6029,111258620,X,GO:0016787
6166,111258621,X,GO:0007031
6167,111258621,X.1,GO:0045542
6168,111258621,X.2,GO:0008526
6169,111258621,X.3,GO:0008525
6170,111258621,X.4,GO:0006637
6171,111258621,X.5,GO:0003988
6172,111258621,X.6,GO:0000062
6173,111258621,X.7,GO:0046982
6174,111258621,X.8,GO:0071397
6175,111258621,X.9,GO:0005829
6176,111258621,X.10,GO:0031410
6177,111258621,X.11,GO:0030587
6178,111258621,X.12,GO:0031315
6179,111258621,X.13,GO:0050632
6180,111258621,X.14,GO:0017127
6181,111258621,X.15,GO:0018812
6182,111258621,X.16,GO:1904121
6183,111258621,X.17,GO:0042803
6184,111258621,X.18,GO:0015485
6185,111258621,X.19,GO:0032385
6186,111258621,X.20,GO:0005783
6187,111258621,X.21,GO:0043234
6188,111258621,X.22,GO:0005782
6189,111258621,X.23,GO:0048545
6190,111258621,X.24,GO:0007568
6191,111258621,X.25,GO:0006631
6192,111258621,X.26,GO:1904109
6193,111258621,X.27,GO:0005634
6194,111258621,X.28,GO:0004303
6195,111258621,X.29,GO:0042493
6196,111258621,X.30,GO:0044594
6197,111258621,X.31,GO:0043065
6198,111258621,X.32,GO:0032355
6199,111258621,X.33,GO:0034754
6200,111258621,X.34,GO:0034699
6201,111258621,X.35,GO:0015914
6202,111258621,X.36,GO:0070538
6203,111258621,X.37,GO:0072659
6204,111258621,X.38,GO:0019933
6303,111258622,X,GO:0005762
6304,111258622,X.1,GO:0003735
6305,111258622,X.2,GO:0032543
6440,111258623,X,GO:0005515
6441,111258623,X.1,GO:0008270
6577,111258627,X,GO:0005515
6714,111258629,X,GO:0000978
6715,111258629,X.1,GO:0060164
6716,111258629,X.2,GO:0045665
6717,111258629,X.3,GO:0021953
6718,111258629,X.4,GO:0045586
6719,111258629,X.5,GO:0021536
6720,111258629,X.6,GO:0021778
6721,111258629,X.7,GO:0045026
6722,111258629,X.8,GO:0045944
6723,111258629,X.9,GO:0044798
6724,111258629,X.10,GO:0005654
6725,111258629,X.11,GO:0051246
6726,111258629,X.12,GO:0000122
6727,111258629,X.13,GO:0001078
6728,111258629,X.14,GO:0009649
6729,111258629,X.15,GO:0046982
6730,111258629,X.16,GO:0001701
6731,111258629,X.17,GO:0048664
6732,111258629,X.18,GO:2001222
6733,111258629,X.19,GO:0016458
6734,111258629,X.20,GO:0048708
6735,111258629,X.21,GO:0040025
6736,111258629,X.22,GO:0000902
6737,111258629,X.23,GO:0090263
