geneno,Gene.id
111271775,LOC111271775
111272252,LOC111272252
111261211,LOC111261211
111263711,LOC111263711
111266533,LOC111266533
111265913,LOC111265913
111261617,LOC111261617
111270076,LOC111270076
111261636,LOC111261636
111269965,LOC111269965
111266890,LOC111266890
111271282,LOC111271282
111260837,LOC111260837
111263587,LOC111263587
111271556,LOC111271556
111268187,LOC111268187
111262261,LOC111262261
111265894,LOC111265894
111269673,LOC111269673
111269554,LOC111269554
111262694,LOC111262694
111263799,LOC111263799
111260175,LOC111260175
111259638,LOC111259638
111266779,LOC111266779
111264671,LOC111264671
111263915,LOC111263915
111271586,LOC111271586
111266026,LOC111266026
111260013,LOC111260013
111268195,LOC111268195
111267399,LOC111267399
111273165,LOC111273165
111260145,LOC111260145
111267813,LOC111267813
111269094,LOC111269094
111264109,LOC111264109
111263057,LOC111263057
111260801,LOC111260801
111259186,LOC111259186
111260882,LOC111260882
111268623,LOC111268623
111266615,LOC111266615
111271513,LOC111271513
111265589,LOC111265589
111265996,LOC111265996
111260481,LOC111260481
111268245,LOC111268245
111261377,LOC111261377
111270383,LOC111270383
111266754,LOC111266754
111261458,LOC111261458
111258837,LOC111258837
111264421,LOC111264421
111267155,LOC111267155
111263490,LOC111263490
111267468,LOC111267468
111259419,LOC111259419
111264679,LOC111264679
111269549,LOC111269549
111269629,LOC111269629
111265938,LOC111265938
111270552,LOC111270552
111273772,LOC111273772
111272569,LOC111272569
111261315,LOC111261315
111269618,LOC111269618
111271033,LOC111271033
111263132,LOC111263132
111261677,LOC111261677
111270962,LOC111270962
111265870,LOC111265870
111269893,LOC111269893
111272081,LOC111272081
111264868,LOC111264868
111259170,LOC111259170
111264566,LOC111264566
111264993,LOC111264993
111270396,LOC111270396
111272962,LOC111272962
111264891,LOC111264891
111272613,LOC111272613
111268107,LOC111268107
111273266,LOC111273266
111265817,LOC111265817
111263834,LOC111263834
111262300,LOC111262300
111263188,LOC111263188
111273153,LOC111273153
111262948,LOC111262948
111264132,LOC111264132
111264992,LOC111264992
111264780,LOC111264780
111269069,LOC111269069
111268387,LOC111268387
111266276,LOC111266276
111267752,LOC111267752
111268065,LOC111268065
111273222,LOC111273222
111271815,LOC111271815
111270040,LOC111270040
111267519,LOC111267519
111269679,LOC111269679
111263929,LOC111263929
111262868,LOC111262868
111263370,LOC111263370
111269338,LOC111269338
111265743,LOC111265743
111273729,LOC111273729
111260816,LOC111260816
111265847,LOC111265847
111270880,LOC111270880
111263322,LOC111263322
111267891,LOC111267891
111264414,LOC111264414
111269829,LOC111269829
111265268,LOC111265268
111269382,LOC111269382
111269392,LOC111269392
111265796,LOC111265796
111271961,LOC111271961
111268884,LOC111268884
111267453,LOC111267453
111258745,LOC111258745
111259697,LOC111259697
111268472,LOC111268472
111267046,LOC111267046
111262985,LOC111262985
111266397,LOC111266397
111261537,LOC111261537
111270224,LOC111270224
111273608,LOC111273608
111259499,LOC111259499
111264027,LOC111264027
111267697,LOC111267697
111269112,LOC111269112
111270878,LOC111270878
111264584,LOC111264584
111272478,LOC111272478
111265553,LOC111265553
111263220,LOC111263220
111273678,LOC111273678
111271056,LOC111271056
111272469,LOC111272469
111270763,LOC111270763
111266205,LOC111266205
111260006,LOC111260006
111268910,LOC111268910
111259503,LOC111259503
111269291,LOC111269291
111259823,LOC111259823
111272209,LOC111272209
111271588,LOC111271588
111262504,LOC111262504
111265704,LOC111265704
111273224,LOC111273224
111265904,LOC111265904
111266660,LOC111266660
111270476,LOC111270476
111267230,LOC111267230
111263042,LOC111263042
111266022,LOC111266022
111265460,LOC111265460
111265488,LOC111265488
111271909,LOC111271909
111259917,LOC111259917
111261755,LOC111261755
111271433,LOC111271433
111267073,LOC111267073
111269720,LOC111269720
111268186,LOC111268186
111266369,LOC111266369
111266707,LOC111266707
111273642,LOC111273642
111263618,LOC111263618
111271163,LOC111271163
111258947,LOC111258947
111259414,LOC111259414
111259404,LOC111259404
111272656,LOC111272656
111267317,LOC111267317
111271837,LOC111271837
111262775,LOC111262775
111259970,LOC111259970
111261985,LOC111261985
111261900,LOC111261900
111262953,LOC111262953
111262019,LOC111262019
111259328,LOC111259328
111259329,LOC111259329
111259744,LOC111259744
111263878,LOC111263878
111262363,LOC111262363
111263102,LOC111263102
111260692,LOC111260692
111260991,LOC111260991
111268754,LOC111268754
111263400,LOC111263400
111267228,LOC111267228
111260958,LOC111260958
111264964,LOC111264964
111260246,LOC111260246
111266466,LOC111266466
111267160,LOC111267160
111269455,LOC111269455
111260751,LOC111260751
111260748,LOC111260748
111265709,LOC111265709
