shared,SOG_ID,OG_ID,V.destructor,V.jacobsoni,T.mercedesae,M.occidentalis,I.scapularis,T.urticae,AncestralClade,GOTerms
6,AEBK,AEBK-0001,LOC111242790,LOC111260641,augustus-scaffold0000011947-processed-gene-0*41-mRNA-1,LOC100905665,IscW_ISCW019815,LOC107360775,ROOT,GO:0042733;GO:0005887;GO:0030513;GO:0004872;GO:0006898;GO:0005515
6,AFKI,AFKI-0001,LOC111242798,LOC111269458,maker-scaffold0000015764-augustus-gene-0*28-mRNA-1,LOC100899921,IscW_ISCW012718,LOC107359794,ROOT,GO:0060021;GO:0048008;GO:0001553;GO:0005516;GO:0043194;GO:0008210;GO:0001822;GO:0033268;GO:0016020;GO:0009791;GO:0006807;GO:0030506;GO:0008366;GO:0044325;GO:0030425;GO:0010761;GO:0048705;GO:0005622;GO:0060325;GO:0048745
6,AFQU,AFQU-0001,LOC111242802,LOC111265563,maker-scaffold0000024308-augustus-gene-0*22-mRNA-1,LOC100909079,IscW_ISCW001811,LOC107367564,ROOT,GO:0005840;GO:0003735;GO:0006412
6,ABDQ,ABDQ-0002,LOC111242809,LOC111272175,maker-scaffold0000008403-augustus-gene-0*44-mRNA-1,LOC100903817,IscW_ISCW004473,LOC107364190,ROOT,GO:0000786;GO:0046982;GO:0003677;GO:0005634
6,ACHQ,ACHQ-0002,LOC111242814,LOC111270059,augustus-scaffold0000004717-processed-gene-0*14-mRNA-1,LOC100907650,IscW_ISCW016193,LOC107367512,ROOT,GO:0005634;GO:0005515;GO:0003677
6,ACYQ,ACYQ-0001,LOC111242816,LOC111266971,augustus-scaffold0000002539-processed-gene-0*7-mRNA-1,LOC100900455,IscW_ISCW015851,LOC107363383,ROOT,GO:0007165;GO:0005515
6,ABHX,ABHX-0003,LOC111242817,LOC111266969,maker-scaffold0000014682-augustus-gene-0*59-mRNA-1,LOC100901030,IscW_ISCW014899,LOC107363121,ROOT,GO:0005515
6,BESC,BESC-0001,LOC111242818,LOC111268146,maker-scaffold0000015692-augustus-gene-0*21-mRNA-1,LOC100897805,IscW_ISCW009385,LOC107360521,ROOT,GO:0016020
6,AGNX,AGNX-0001,LOC111242821,LOC111258728,maker-scaffold0000008745-augustus-gene-0*17-mRNA-1,LOC100901310,IscW_ISCW004999,LOC107362677,ROOT,GO:0035023;GO:0005089
6,ABWF,ABWF-0003,LOC111242824,LOC111272993,augustus-scaffold0000026605-processed-gene-0*11-mRNA-1,LOC108864734,IscW_ISCW003677,LOC107368210,ROOT,GO:0046983
6,AHPV,AHPV-0001,LOC111242825,LOC111263774,augustus-scaffold0000009077-processed-gene-0*24-mRNA-1,LOC100899919,IscW_ISCW017340,LOC107363669,ROOT,NA
6,AGCV,AGCV-0001,LOC111242826,LOC111258731,maker-scaffold0000010162-augustus-gene-0*59-mRNA-1,LOC100901944,IscW_ISCW018505,LOC107368856,ROOT,GO:0005515
6,ABFX,ABFX-0004,LOC111242827,LOC111270127,augustus-scaffold0000015846-processed-gene-0*13-mRNA-1,LOC100900311,IscW_ISCW009755,LOC107370601,ROOT,NA
6,AHIG,AHIG-0001,LOC111242828,LOC111272431,maker-scaffold0000000318-augustus-gene-0*6-mRNA-1,LOC108863781,IscW_ISCW004740,LOC107371148,ROOT,NA
6,AEHI,AEHI-0002,LOC111242831,LOC111258742,genemark-scaffold0000010976-processed-gene-0*3-mRNA-1,LOC100901169,IscW_ISCW021516,LOC107368503,ROOT,GO:0042981
6,ADRO,ADRO-0001,LOC111242832,LOC111258733,augustus-scaffold0000010162-processed-gene-0*21-mRNA-1,LOC100908243,IscW_ISCW008131,LOC107370024,ROOT,GO:0003824
6,ACED,ACED-0002,LOC111242833,LOC111258699,maker-scaffold0000000691-augustus-gene-0*5-mRNA-1,LOC100907502,IscW_ISCW023334,LOC107366736,ROOT,GO:0008199;GO:0006879;GO:0006826
6,ABDO,ABDO-0014,LOC111242835,LOC111272428,augustus-scaffold0000008450-processed-gene-0*10-mRNA-1,LOC100904748,IscW_ISCW018551,LOC107362277,ROOT,GO:0006915;GO:0051865;GO:0005829;GO:0031145;GO:0035666;GO:0045676;GO:0005524;GO:0007286;GO:0005694;GO:0005886;GO:0006513;GO:0016579;GO:0039020;GO:0085020;GO:0005654;GO:0000151;GO:0010008;GO:0070062;GO:0070979;GO:0097039;GO:0044314;GO:0031435;GO:0035519;GO:0038095;GO:0061631;GO:0030509;GO:0030718;GO:0007140;GO:0061630;GO:0002223;GO:0070534;GO:0006281;GO:0016322;GO:0048132;GO:0043130;GO:0061418;GO:0043234;GO:0050852;GO:0051437;GO:0031625;GO:0070936;GO:1903955;GO:0051276;GO:0051436;GO:0031647;GO:1902916;GO:0000122
