geneno,Gene.id,Accession,chromosome,start,end,gene.descrip,Go,Term-enrich
111262012,LOC111262012,vj.gene.dup_01,,,,,,
111262131,LOC111262131,vj.gene.dup_01,LOC111253451,,,,,
111270371,LOC111270371,vj.gene.dup_02,,,,,,
111270502,LOC111270502,vj.gene.dup_02,,,,,,
111270537,LOC111270537,vj.gene.dup_02,,,,,,
111270546,LOC111270546,vj.gene.dup_02,,,,,,
111270507,LOC111270507,vj.gene.dup_03,,,,,,
111270474,LOC111270474,vj.gene.dup_03,LOC111246985,,,,,
111258676,LOC111258676,vj.gene.dup_04,LOC111250862,,,,,
111258681,LOC111258681,vj.gene.dup_04,,,,,,
111261430,LOC111261430,vj.gene.dup_05,,,,,,
111261432,LOC111261432,vj.gene.dup_05,,,,,,
111262797,LOC111262797,vj.gene.dup_06,,,,,,
111262783,LOC111262783,vj.gene.dup_06,LOC111246577,,,,,
111263068,LOC111263068,vj.gene.dup_07,,,,,,
111263062,LOC111263062,vj.gene.dup_07,LOC111249273,,,,,
111266575,LOC111266575,vj.gene.dup_08,,,,,,
111266563,LOC111266563,vj.gene.dup_08,LOC111251001,,,,,
111268371,LOC111268371,vj.gene.dup_09,,,,,,
111268369,LOC111268369,vj.gene.dup_09,LOC111250749,,,,,
111272407,LOC111272407,vj.gene.dup_10,,,,,,
111272408,LOC111272408,vj.gene.dup_10,,,,,,
111268472,LOC111268472,vj.gene.dup_10,LOC111250510,,,,,
111268457,LOC111268457,vj.gene.dup_10,,,,,,
111269199,LOC111269199,vj.gene.dup_11,LOC111244295,,,,,
111269200,LOC111269200,vj.gene.dup_11,,,,,,
111269344,LOC111269344,vj.gene.dup_12,,,,,,
111269345,LOC111269345,vj.gene.dup_12,LOC111250199,,,,,
111269874,LOC111269874,vj.gene.dup_13,,,,,,
111269875,LOC111269875,vj.gene.dup_13,LOC111247971,,,,,
111269876,LOC111269876,vj.gene.dup_13,,,,,,
111271834,LOC111271834,vj.gene.dup_14,LOC111243565,,,,,
111271835,LOC111271835,vj.gene.dup_14,,,,,,
111272279,LOC111272279,vj.gene.dup_15,LOC111253257,,,,,
111272280,LOC111272280,vj.gene.dup_15,,,,,,
111272681,LOC111272681,vj.gene.dup_16,,,,,,
111272680,LOC111272680,vj.gene.dup_16,LOC111247702,,,,,
