geneno,Gene.id,Accession,chromosome,start,end,gene.descrip,Go,Term-enrich
111250948,LOC111250948,NW_019211454.1 ,chr1,9743941,9744829,histone H2A-like,,
111250934,LOC111250934,NW_019211454.1 ,chr1,9749576,9750601,histone H2A-like,,
111252954,LOC111252954,NW_019211454.1 ,chr1,14020703,14030760,heat shock 70 kDa protein-like,,
111251692,LOC111251692,NW_019211454.1 ,chr1,15116915,15119876,heat shock 70 kDa protein cognate 4-like,,
111243509,LOC111243509,NW_019211454.1 ,chr1,15326537,15328868,heat shock 70 kDa protein 1-like,,
111243060,LOC111243060,NW_019211454.1 ,chr1,15339678,15342612,heat shock cognate 71 kDa protein-like,,
111242998,LOC111242998,NW_019211454.1,chr1,15347116,15349048,heat shock 70 kDa protein II-like,,
111243058,LOC111243058,NW_019211454.1 ,chr1,15378965,15381190,heat shock-related 70 kDa protein 2-like,,
111255253,LOC111255253,NW_019211454.1 ,chr1,21689375,21696462,protein argonaute 12-like,,
111255312,LOC111255312,NW_019211454.1 ,chr1,21710643,21716022,protein argonaute 12-like,,
111245502,LOC111245502,NW_019211454.1 ,chr1,22298740,22371795,zinc finger protein 629-like,,
111243133,LOC111243133,NW_019211454.1 ,chr1,22514440,22520129,uncharacterized LOC111243133,,
111250360,LOC111250360,NW_019211454.1 ,chr1,44820095,44822758,alpha-protein kinase 1-like,,
111255517,LOC111255517,NW_019211454.1 ,chr1,44822808,44834089,mucin-5AC-like,,
111255280,LOC111255280,NW_019211454.1 ,chr1,73377174,73439843,discoidin domain-containing receptor 2-like,,
111255478,LOC111255478,NW_019211454.1 ,chr1,73720465,73788351,discoidin domain-containing receptor 2-like,,
111246041,LOC111246041,NW_019211454.1 ,chr1,73980847,73986810,protein SMG5-like,,
111254553,LOC111254553,NW_019211454.1 ,chr1,73989530,74001503,uncharacterized LOC111254553,,
111243695,LOC111243695,NW_019211455.1,chr2,41272447,41293882,uncharacterized LOC111243695,,
111243707,LOC111243707,NW_019211455.1,chr2,41311871,41314737,uncharacterized LOC111243707,,
111244757,LOC111244757,NW_019211455.1,chr2,43163870,43198223,"2-oxoisovalerate dehydrogenase subunit alpha, mitochondrial-like",,
111244836,LOC111244836,NW_019211455.1,chr2,43427422,43438993,"2-oxoisovalerate dehydrogenase subunit alpha, mitochondrial-like",,
111246401,LOC111246401,NW_019211456.1 ,chr3,18281050,18289297,"aldehyde dehydrogenase, dimeric NADP-preferring-like",,
111246402,LOC111246402,NW_019211456.1 ,chr3,18292369,18299368,"aldehyde dehydrogenase, dimeric NADP-preferring-like",,
111246520,LOC111246520,NW_019211456.1 ,chr3,28608596,28609279,polyadenylate-binding protein 1-B-like,,
111246522,LOC111246522,NW_019211456.1 ,chr3,28620308,28620763,uncharacterized LOC111246522,,
111246368,LOC111246368,NW_019211456.1 ,chr3,39040262,39041537,"actin, clone 403-like",,
111248271,LOC111248271,NW_019211456.1 ,chr3,39046251,39047757,"actin, clone 403-like",,
111247998,LOC111247998,NW_019211456.1 ,chr3,51462784,51468095,tRNA (adenine(58)-N(1))-methyltransferase non-catalytic subunit TRM6-like,,
111248123,LOC111248123,NW_019211456.1 ,chr3,51492028,51497339,tRNA (adenine(58)-N(1))-methyltransferase non-catalytic subunit TRM6-like,,
111247235,LOC111247235,NW_019211456.1 ,chr3,51476292,51484537,glucoside xylosyltransferase 1-like,,
111247577,LOC111247577,NW_019211456.1 ,chr3,51499478,51509018,glucoside xylosyltransferase 2-like,,
111247362,LOC111247362,NW_019211456.1 ,chr3,54387453,54397857,general transcriptional corepressor CYC8-like,,
111247363,LOC111247363,NW_019211456.1 ,chr3,54534443,54682471,polyglutamine-repeat protein pqn-41-like,,
111249915,LOC111249915,NW_019211457.1 ,chr4,11380742,11381405,cuticle protein 14-like,,
111249917,LOC111249917,NW_019211457.1 ,chr4,11389392,11390271,cuticle protein 14-like,,
111249572,LOC111249572,NW_019211457.1 ,chr4,14611045,14613926,uncharacterized LOC111249572,,
111250291,LOC111250291,NW_019211457.1 ,chr4,14626702,14635477,V-type proton ATPase 21 kDa proteolipid subunit-like,,
111250293,LOC111250293,NW_019211457.1 ,chr4,14651045,14659267,uncharacterized LOC111250293,,
111250295,LOC111250295,NW_019211457.1 ,chr4,14659371,14663276,serine/threonine-protein kinase haspin homolog,,
111250069,LOC111250069,NW_019211457.1 ,chr4,46620793,46634142,adult-specific rigid cuticular protein 15.7-like,,
111249833,LOC111249833,NW_019211457.1 ,chr4,46642117,46644330,adult-specific rigid cuticular protein 15.7-like,,
111251572,LOC111251572,NW_019211458.1 ,chr5,6735699,6806336,secretin receptor-like,,
111251477,LOC111251477,NW_019211458.1 ,chr5,6832127,6851354,uncharacterized LOC111251477,,
111251186,LOC111251186,NW_019211458.1 ,chr5,25703068,25707811,uncharacterized LOC111251186,,
111251451,LOC111251451,NW_019211458.1 ,chr5,25729551,25730900,uncharacterized LOC111251451,,
111251262,LOC111251262,NW_019211458.1 ,chr5,30415175,30418129,zinc finger protein 28-like,,
111250867,LOC111250867,NW_019211458.1 ,chr5,30418126,30426072,zinc finger protein sens-like,,
111250958,LOC111250958,NW_019211458.1 ,chr5,33395295,33400712,insecticyanin-B-like,,
111250959,LOC111250959,NW_019211458.1 ,chr5,33414971,33420386,insecticyanin-B-like,,
111252099,LOC111252099,NW_019211458.1 ,chr5,35812050,35861428,uncharacterized LOC111252099,,
111251298,LOC111251298,NW_019211458.1 ,chr5,35861530,35866141,uncharacterized LOC111251298,,
111250615,LOC111250615,NW_019211458.1 ,chr5,35985578,35990203,uncharacterized LOC111250615,,
111250730,LOC111250730,NW_019211458.1 ,chr5,36027877,36070973,uncharacterized LOC111250730,,
111252581,LOC111252581,NW_019211459.1 ,chr6,3126901,3145752,proline-rich protein 36-like,,
111252582,LOC111252582,NW_019211459.1 ,chr6,3156849,3157805,collagen alpha-1(I) chain-like,,
